Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.554,0.005,0.5563,0.002,0.558,0.0037,0.5577,0.0037
1.0,0.4263,0.0373,-1,-1,0.5576,0.0036,0.5572,0.0037
2.0,0.4299,0.0349,-1,-1,0.5578,0.0036,0.5574,0.0034
3.0,0.4403,0.0314,-1,-1,0.5578,0.0036,0.5576,0.0035
4.0,0.4565,0.0322,-1,-1,0.5578,0.0036,0.5576,0.0036
5.0,0.4835,0.029,-1,-1,0.5577,0.0037,0.5574,0.0034
6.0,0.5113,0.0198,-1,-1,0.5578,0.0038,0.5577,0.0038
7.0,0.5275,0.0164,-1,-1,0.558,0.0037,0.5575,0.0037
8.0,0.5388,0.0126,-1,-1,0.5578,0.0039,0.5575,0.0035
9.0,0.5458,0.0081,-1,-1,0.5579,0.0038,0.5577,0.0036
10.0,0.5487,0.0076,-1,-1,0.5578,0.0038,0.5573,0.0036
