Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6039,0.0032,0.597,0.0021,0.598,0.0043,0.5982,0.0043
1.0,0.599,0.0063,-1,-1,0.5979,0.0044,0.598,0.0046
2.0,0.5987,0.006,-1,-1,0.5979,0.0043,0.598,0.0045
3.0,0.5983,0.0068,-1,-1,0.598,0.0043,0.5978,0.0045
4.0,0.5976,0.0074,-1,-1,0.5979,0.0043,0.5979,0.0043
5.0,0.5971,0.0088,-1,-1,0.5978,0.0043,0.5981,0.0044
6.0,0.598,0.0074,-1,-1,0.5979,0.0043,0.598,0.0042
7.0,0.5951,0.0075,-1,-1,0.598,0.0044,0.5979,0.0043
8.0,0.5984,0.0065,-1,-1,0.598,0.0044,0.598,0.0044
9.0,0.5978,0.005,-1,-1,0.5979,0.0043,0.5979,0.0043
10.0,0.5986,0.0057,-1,-1,0.5979,0.0043,0.598,0.0043
