Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.4212,0.0208,0.3642,0.0068,0.3605,0.0128,0.3589,0.0124
1.0,0.3956,0.0716,-1,-1,0.3617,0.0117,0.3584,0.0135
2.0,0.3978,0.0619,-1,-1,0.3601,0.0114,0.3591,0.0117
3.0,0.3706,0.0746,-1,-1,0.3611,0.0118,0.3598,0.0121
4.0,0.3459,0.091,-1,-1,0.3615,0.0115,0.3586,0.0129
5.0,0.3329,0.087,-1,-1,0.3617,0.012,0.3581,0.012
6.0,0.3112,0.0743,-1,-1,0.3617,0.0125,0.3584,0.0121
7.0,0.3265,0.08,-1,-1,0.3616,0.0121,0.3585,0.0117
8.0,0.3547,0.0625,-1,-1,0.3611,0.0118,0.359,0.0124
9.0,0.3626,0.0627,-1,-1,0.3614,0.0122,0.3595,0.0128
10.0,0.3838,0.0536,-1,-1,0.3614,0.0113,0.3581,0.0122
