Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.4521,0.0111,0.3473,0.008,0.3382,0.015,0.3365,0.0173
1.0,0.4381,0.0308,-1,-1,0.3397,0.0151,0.3352,0.0167
2.0,0.4373,0.0322,-1,-1,0.339,0.0155,0.3356,0.0168
3.0,0.4441,0.0348,-1,-1,0.3409,0.0157,0.3366,0.0171
4.0,0.4506,0.0299,-1,-1,0.3404,0.0151,0.3359,0.017
5.0,0.4492,0.0336,-1,-1,0.3405,0.0152,0.3353,0.0166
6.0,0.4537,0.0263,-1,-1,0.341,0.0155,0.3361,0.0139
7.0,0.4598,0.0242,-1,-1,0.3405,0.0154,0.336,0.0157
8.0,0.4588,0.0268,-1,-1,0.339,0.0144,0.3363,0.0166
9.0,0.4548,0.0272,-1,-1,0.3406,0.0163,0.3364,0.0176
10.0,0.453,0.0242,-1,-1,0.3405,0.0157,0.335,0.0171
