Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.3121,0.0114,0.266,0.0054,0.2672,0.0121,0.266,0.0123
1.0,0.2804,0.0244,-1,-1,0.2681,0.0122,0.2671,0.0122
2.0,0.2806,0.0229,-1,-1,0.2677,0.0114,0.2662,0.0119
3.0,0.2788,0.0229,-1,-1,0.2682,0.0117,0.2665,0.012
4.0,0.2862,0.0246,-1,-1,0.268,0.0116,0.2662,0.0122
5.0,0.2906,0.0221,-1,-1,0.2681,0.012,0.2663,0.0119
6.0,0.2943,0.0229,-1,-1,0.2679,0.0116,0.2666,0.0115
7.0,0.2985,0.0259,-1,-1,0.2677,0.0122,0.266,0.0121
8.0,0.3024,0.0232,-1,-1,0.2673,0.012,0.2664,0.0114
9.0,0.3034,0.0191,-1,-1,0.2678,0.0122,0.266,0.012
10.0,0.3042,0.0151,-1,-1,0.2677,0.0119,0.2661,0.0122
