Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.85,0.0,0.75,0.02,0.8,0.01,0.81,0.0
1.0,0.59,0.01,-1,-1,0.75,0.02,0.71,0.02
2.0,0.59,0.01,-1,-1,0.77,0.01,0.74,0.02
3.0,0.59,0.01,-1,-1,0.78,0.01,0.76,0.01
4.0,0.59,0.01,-1,-1,0.78,0.01,0.77,0.01
5.0,0.6,0.02,-1,-1,0.78,0.01,0.78,0.01
6.0,0.62,0.02,-1,-1,0.78,0.01,0.78,0.01
7.0,0.66,0.01,-1,-1,0.78,0.01,0.79,0.01
8.0,0.72,0.01,-1,-1,0.78,0.01,0.79,0.01
9.0,0.79,0.0,-1,-1,0.78,0.01,0.79,0.01
10.0,0.81,0.01,-1,-1,0.79,0.01,0.79,0.01
