Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9654,0.0044,0.7788,0.0139,0.8647,0.0133,0.891,0.0074
1.0,0.6202,0.0181,-1,-1,0.7733,0.0172,0.6749,0.0194
2.0,0.6184,0.0193,-1,-1,0.8178,0.0135,0.7614,0.0228
3.0,0.6192,0.016,-1,-1,0.8316,0.01,0.8044,0.0138
4.0,0.6385,0.0204,-1,-1,0.8395,0.0119,0.8275,0.0132
5.0,0.6707,0.0226,-1,-1,0.8443,0.011,0.8394,0.0119
6.0,0.7225,0.0094,-1,-1,0.8474,0.0107,0.8445,0.0103
7.0,0.8044,0.0067,-1,-1,0.8496,0.0107,0.8515,0.0108
8.0,0.8759,0.0089,-1,-1,0.8514,0.0104,0.855,0.0098
9.0,0.9121,0.0083,-1,-1,0.8529,0.0103,0.8591,0.009
10.0,0.9282,0.0066,-1,-1,0.8538,0.0102,0.8618,0.0085
