Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9988,0.0008,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5016,0.0019,-1,-1,0.4998,0.0004,0.4998,0.0004
2.0,0.5042,0.0019,-1,-1,0.4998,0.0004,0.4998,0.0004
3.0,0.509,0.0029,-1,-1,0.4998,0.0004,0.4998,0.0004
4.0,0.5228,0.0025,-1,-1,0.4998,0.0004,0.4998,0.0004
5.0,0.5536,0.0069,-1,-1,0.4998,0.0004,0.4998,0.0004
6.0,0.6262,0.0072,-1,-1,0.4998,0.0004,0.4998,0.0004
7.0,0.7472,0.0064,-1,-1,0.4998,0.0004,0.4998,0.0004
8.0,0.8471,0.0083,-1,-1,0.4998,0.0004,0.4998,0.0004
9.0,0.91,0.0085,-1,-1,0.4998,0.0004,0.4998,0.0004
10.0,0.9467,0.008,-1,-1,0.4998,0.0004,0.4998,0.0004
