Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9387,0.0019,0.7491,0.006,0.8763,0.0103,0.8886,0.0072
1.0,0.5866,0.0144,-1,-1,0.7278,0.0164,0.6817,0.018
2.0,0.594,0.0212,-1,-1,0.7881,0.0172,0.7438,0.0121
3.0,0.6023,0.0187,-1,-1,0.8183,0.0179,0.7933,0.0109
4.0,0.6204,0.014,-1,-1,0.8348,0.0166,0.8173,0.0123
5.0,0.6613,0.0171,-1,-1,0.8434,0.0137,0.8317,0.0144
6.0,0.7602,0.0107,-1,-1,0.8487,0.0117,0.8417,0.0155
7.0,0.85,0.0114,-1,-1,0.852,0.0108,0.8485,0.015
8.0,0.8829,0.0081,-1,-1,0.8548,0.0097,0.8524,0.0138
9.0,0.9017,0.0094,-1,-1,0.8566,0.009,0.8553,0.0134
10.0,0.9146,0.0042,-1,-1,0.8585,0.0086,0.8584,0.0113
