Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9992,0.0007,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5008,0.0019,-1,-1,0.5,0.0,0.5,0.0
2.0,0.502,0.0023,-1,-1,0.5,0.0,0.5,0.0
3.0,0.508,0.0031,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5308,0.0034,-1,-1,0.5,0.0,0.5,0.0
5.0,0.5857,0.0045,-1,-1,0.5,0.0,0.5,0.0
6.0,0.687,0.0124,-1,-1,0.5,0.0,0.5,0.0
7.0,0.8191,0.0063,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9021,0.0009,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9456,0.0048,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9693,0.0043,-1,-1,0.5,0.0,0.5,0.0
