Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.8716,0.0105,0.8042,0.0162,0.8421,0.0139,0.8551,0.0155
1.0,0.4991,0.007,-1,-1,0.8184,0.0137,0.8073,0.0107
2.0,0.4972,0.0115,-1,-1,0.8315,0.0086,0.8248,0.0128
3.0,0.5004,0.0157,-1,-1,0.8358,0.0116,0.829,0.0096
4.0,0.5046,0.0145,-1,-1,0.8412,0.0101,0.8351,0.0128
5.0,0.5448,0.0107,-1,-1,0.8426,0.0097,0.84,0.013
6.0,0.6099,0.0308,-1,-1,0.8431,0.0112,0.8412,0.013
7.0,0.7105,0.0164,-1,-1,0.845,0.0094,0.8419,0.0106
8.0,0.789,0.0155,-1,-1,0.8436,0.0101,0.8431,0.0125
9.0,0.8209,0.0141,-1,-1,0.845,0.0105,0.8459,0.0155
10.0,0.842,0.0101,-1,-1,0.8455,0.0102,0.8485,0.014
