Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9987,0.0004,0.501,0.0006,0.501,0.0006,0.501,0.0006
1.0,0.4986,0.0016,-1,-1,0.5004,0.0005,0.5004,0.0005
2.0,0.501,0.0026,-1,-1,0.5004,0.0005,0.5004,0.0005
3.0,0.5038,0.002,-1,-1,0.5,0.0,0.5004,0.0005
4.0,0.5076,0.0031,-1,-1,0.5004,0.0005,0.5004,0.0005
5.0,0.5455,0.0046,-1,-1,0.5,0.0,0.5004,0.0005
6.0,0.6554,0.0132,-1,-1,0.5004,0.0005,0.5004,0.0005
7.0,0.8159,0.0123,-1,-1,0.5004,0.0005,0.5004,0.0005
8.0,0.9165,0.0091,-1,-1,0.5004,0.0005,0.5004,0.0005
9.0,0.9578,0.0049,-1,-1,0.5004,0.0005,0.5004,0.0005
10.0,0.9782,0.0022,-1,-1,0.5004,0.0005,0.5004,0.0005
