Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6128,0.0748,0.4955,0.0484,0.5381,0.0758,0.5865,0.0904
1.0,0.4897,0.0608,-1,-1,0.5162,0.0326,0.4796,0.033
2.0,0.4882,0.0579,-1,-1,0.5266,0.079,0.5241,0.0414
3.0,0.4929,0.057,-1,-1,0.5522,0.0611,0.52,0.0821
4.0,0.5291,0.0805,-1,-1,0.5425,0.0799,0.5279,0.0869
5.0,0.5358,0.0722,-1,-1,0.556,0.0656,0.5345,0.0824
6.0,0.5651,0.0981,-1,-1,0.5406,0.0667,0.5402,0.0464
7.0,0.5594,0.0899,-1,-1,0.5435,0.0665,0.5832,0.0482
8.0,0.6055,0.085,-1,-1,0.5474,0.062,0.5475,0.0743
9.0,0.6167,0.0903,-1,-1,0.5381,0.0675,0.5524,0.0947
10.0,0.6146,0.0758,-1,-1,0.5389,0.0689,0.563,0.0741
