Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6552,0.0178,0.5259,0.0084,0.6316,0.0217,0.6479,0.0281
1.0,0.511,0.0221,-1,-1,0.5859,0.0145,0.5452,0.0178
2.0,0.5115,0.0233,-1,-1,0.6092,0.0156,0.5731,0.0097
3.0,0.5132,0.0204,-1,-1,0.6161,0.0162,0.597,0.0129
4.0,0.5141,0.0168,-1,-1,0.6204,0.015,0.6163,0.018
5.0,0.514,0.0114,-1,-1,0.6211,0.0135,0.6281,0.0181
6.0,0.5174,0.0138,-1,-1,0.6226,0.0129,0.6239,0.0141
7.0,0.5181,0.0209,-1,-1,0.6254,0.0146,0.6387,0.0106
8.0,0.5461,0.0175,-1,-1,0.6239,0.0179,0.6418,0.0116
9.0,0.5917,0.0299,-1,-1,0.6251,0.018,0.643,0.0182
10.0,0.6206,0.0286,-1,-1,0.6262,0.0175,0.6502,0.0203
