Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.72,0.1415,0.5453,0.1472,0.5891,0.1161,0.4851,0.0857
1.0,0.4443,0.0943,-1,-1,0.5414,0.1586,0.5269,0.1043
2.0,0.4437,0.0925,-1,-1,0.556,0.1232,0.5703,0.1539
3.0,0.4362,0.0972,-1,-1,0.6048,0.1571,0.5416,0.1407
4.0,0.4306,0.098,-1,-1,0.577,0.1473,0.5896,0.1968
5.0,0.4246,0.0677,-1,-1,0.5155,0.2196,0.4438,0.2489
6.0,0.4218,0.0964,-1,-1,0.6384,0.1565,0.5349,0.0811
7.0,0.4925,0.0695,-1,-1,0.6412,0.1428,0.554,0.11
8.0,0.4682,0.1209,-1,-1,0.6431,0.1409,0.5647,0.1676
9.0,0.6642,0.1616,-1,-1,0.6443,0.1376,0.449,0.255
10.0,0.7363,0.1119,-1,-1,0.6391,0.1343,0.5821,0.1711
