Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.981,0.0034,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.4997,0.0007,-1,-1,0.5,0.0,0.5,0.0
2.0,0.4997,0.0007,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5004,0.0009,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5024,0.0015,-1,-1,0.5,0.0,0.5,0.0
5.0,0.5066,0.0023,-1,-1,0.5,0.0,0.5,0.0
6.0,0.5229,0.0054,-1,-1,0.5,0.0,0.5,0.0
7.0,0.574,0.0091,-1,-1,0.5,0.0,0.5,0.0
8.0,0.6795,0.017,-1,-1,0.5,0.0,0.5,0.0
9.0,0.8224,0.0202,-1,-1,0.5,0.0,0.5,0.0
10.0,0.8953,0.0092,-1,-1,0.5,0.0,0.5,0.0
