Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.8536,0.0033,0.7504,0.0209,0.7984,0.0123,0.8109,0.004
1.0,0.5917,0.0069,-1,-1,0.7563,0.0189,0.7056,0.0197
2.0,0.5906,0.0088,-1,-1,0.7647,0.0118,0.7443,0.0157
3.0,0.5931,0.0094,-1,-1,0.7756,0.0138,0.7578,0.0104
4.0,0.5926,0.0057,-1,-1,0.7801,0.0104,0.7693,0.0138
5.0,0.6027,0.0177,-1,-1,0.7814,0.0095,0.7748,0.0166
6.0,0.6216,0.0242,-1,-1,0.7828,0.0084,0.7819,0.0124
7.0,0.6601,0.0115,-1,-1,0.7841,0.0089,0.7889,0.0108
8.0,0.7242,0.007,-1,-1,0.7879,0.0065,0.7884,0.0101
9.0,0.7857,0.0,-1,-1,0.7887,0.006,0.7869,0.0137
10.0,0.8059,0.0064,-1,-1,0.7881,0.0079,0.7948,0.0131
