Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9999,0.0001,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5004,0.0005,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5008,0.0008,-1,-1,0.5,0.0,0.5,0.0
3.0,0.502,0.0014,-1,-1,0.5,0.0,0.5,0.0
4.0,0.504,0.0013,-1,-1,0.5,0.0,0.5,0.0
5.0,0.5136,0.0021,-1,-1,0.5,0.0,0.5,0.0
6.0,0.5368,0.0037,-1,-1,0.5,0.0,0.5,0.0
7.0,0.595,0.0108,-1,-1,0.5,0.0,0.5,0.0
8.0,0.7042,0.0093,-1,-1,0.5,0.0,0.5,0.0
9.0,0.851,0.009,-1,-1,0.5,0.0,0.5,0.0
10.0,0.8915,0.0092,-1,-1,0.5,0.0,0.5,0.0
