Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5353,0.0232,0.5015,0.0118,0.5023,0.0165,0.4956,0.0112
1.0,0.4805,0.0239,-1,-1,0.4867,0.0104,0.4943,0.0164
2.0,0.5,0.0273,-1,-1,0.4998,0.0103,0.5,0.01
3.0,0.4976,0.0195,-1,-1,0.4819,0.0174,0.5015,0.0175
4.0,0.5192,0.0131,-1,-1,0.5006,0.0077,0.501,0.0142
5.0,0.5129,0.0166,-1,-1,0.4949,0.0086,0.497,0.0128
6.0,0.522,0.0166,-1,-1,0.5012,0.0148,0.4996,0.015
7.0,0.5292,0.0158,-1,-1,0.4928,0.0219,0.4945,0.0233
8.0,0.5202,0.0215,-1,-1,0.487,0.0262,0.5004,0.0196
9.0,0.5482,0.0162,-1,-1,0.4948,0.0136,0.4991,0.0173
10.0,0.5413,0.0105,-1,-1,0.4794,0.0221,0.4955,0.0198
