Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5306,0.0137,0.5101,0.0161,0.5209,0.0188,0.5171,0.0244
1.0,0.4722,0.0226,-1,-1,0.5172,0.0152,0.5165,0.0214
2.0,0.4897,0.0186,-1,-1,0.5235,0.0173,0.5,0.5
3.0,0.4911,0.0138,-1,-1,0.5161,0.0209,0.517,0.0155
4.0,0.515,0.023,-1,-1,0.5208,0.0098,0.5252,0.0141
5.0,0.5318,0.0222,-1,-1,0.5108,0.0148,0.5175,0.0152
6.0,0.5437,0.0196,-1,-1,0.5148,0.0165,0.5254,0.0252
7.0,0.5368,0.0212,-1,-1,0.5187,0.0241,0.5288,0.0171
8.0,0.5304,0.0092,-1,-1,0.5136,0.0173,0.5192,0.0248
9.0,0.534,0.0035,-1,-1,0.5195,0.0188,0.5166,0.0237
10.0,0.5358,0.0158,-1,-1,0.5181,0.0137,0.5205,0.0238
