Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6033,0.0987,0.4585,0.0284,0.4801,0.0791,0.4734,0.0809
1.0,0.5145,0.0557,-1,-1,0.5148,0.06,0.4783,0.1102
2.0,0.5073,0.0667,-1,-1,0.5131,0.0305,0.5,0.0
3.0,0.495,0.1195,-1,-1,0.5103,0.0525,0.4778,0.0951
4.0,0.5388,0.0918,-1,-1,0.4888,0.0456,0.4922,0.0526
5.0,0.5293,0.1193,-1,-1,0.4956,0.0532,0.4852,0.1075
6.0,0.5037,0.0506,-1,-1,0.4776,0.0574,0.4993,0.0497
7.0,0.4556,0.1034,-1,-1,0.5114,0.0487,0.4881,0.08
8.0,0.5161,0.0755,-1,-1,0.4976,0.0521,0.4972,0.0713
9.0,0.5723,0.0724,-1,-1,0.5101,0.0321,0.5018,0.0727
10.0,0.5967,0.1134,-1,-1,0.5049,0.0678,0.4723,0.0633
