Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9967,0.0012,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5379,0.0189,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5705,0.0132,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5966,0.0256,-1,-1,0.5,0.0,0.5,0.0
4.0,0.7087,0.0139,-1,-1,0.5,0.0,0.5,0.0
5.0,0.7974,0.0132,-1,-1,0.5,0.0,0.5,0.0
6.0,0.9128,0.01,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9559,0.0065,-1,-1,0.5,0.0,0.5,0.0
8.0,0.973,0.0047,-1,-1,0.5,0.0,0.5,0.0
9.0,0.984,0.0031,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9879,0.004,-1,-1,0.5,0.0,0.5,0.0
