Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9945,0.0009,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5237,0.0163,-1,-1,0.5,0.0,0.5,0.0
2.0,0.552,0.0138,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5906,0.0062,-1,-1,0.5,0.0,0.5,0.0
4.0,0.6934,0.0104,-1,-1,0.5,0.0,0.5,0.0
5.0,0.7974,0.0106,-1,-1,0.5,0.0,0.5,0.0
6.0,0.8979,0.0041,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9425,0.0008,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9658,0.0028,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9767,0.0018,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9825,0.0032,-1,-1,0.5,0.0,0.5,0.0
