Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.471,0.0266,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5005,0.071,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5205,0.0467,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5539,0.0675,-1,-1,0.5,0.0,0.5,0.0
5.0,0.6622,0.0364,-1,-1,0.5,0.0,0.5,0.0
6.0,0.7805,0.1043,-1,-1,0.5,0.0,0.5,0.0
7.0,0.8317,0.0969,-1,-1,0.5,0.0,0.5,0.0
8.0,0.8758,0.1031,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9475,0.0352,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9318,0.036,-1,-1,0.5,0.0,0.5,0.0
