Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5358,0.0225,0.4746,0.0223,0.4705,0.0336,0.4906,0.0262
1.0,0.5041,0.0163,-1,-1,0.4668,0.0194,0.4709,0.0272
2.0,0.4778,0.0138,-1,-1,0.4687,0.0193,0.4662,0.0173
3.0,0.4669,0.0169,-1,-1,0.4936,0.016,0.4861,0.035
4.0,0.4778,0.048,-1,-1,0.4815,0.0219,0.482,0.023
5.0,0.4761,0.0109,-1,-1,0.4759,0.023,0.4844,0.0253
6.0,0.5033,0.0292,-1,-1,0.4789,0.0199,0.4742,0.0228
7.0,0.4981,0.0371,-1,-1,0.459,0.0268,0.4822,0.0231
8.0,0.4943,0.0303,-1,-1,0.4766,0.029,0.4834,0.0249
9.0,0.5198,0.0214,-1,-1,0.4794,0.0303,0.4826,0.0197
10.0,0.5279,0.035,-1,-1,0.4754,0.0303,0.4683,0.0212
