Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5441,0.0194,0.5081,0.0107,0.5159,0.0066,0.5161,0.008
1.0,0.5011,0.009,-1,-1,0.5178,0.0047,0.5188,0.0064
2.0,0.5047,0.0133,-1,-1,0.5165,0.0061,0.5207,0.0026
3.0,0.5048,0.0141,-1,-1,0.5171,0.008,0.5162,0.0053
4.0,0.5138,0.0136,-1,-1,0.517,0.0018,0.5201,0.0059
5.0,0.5105,0.0158,-1,-1,0.52,0.0068,0.5153,0.0068
6.0,0.5098,0.0153,-1,-1,0.522,0.0055,0.5198,0.0047
7.0,0.5297,0.0102,-1,-1,0.5152,0.0069,0.5192,0.0058
8.0,0.5371,0.0123,-1,-1,0.5165,0.0076,0.5136,0.0034
9.0,0.5323,0.0097,-1,-1,0.5141,0.0066,0.5165,0.0082
10.0,0.5335,0.011,-1,-1,0.5172,0.0087,0.5185,0.0045
