Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.641,0.0219,0.4446,0.0646,0.4957,0.0546,0.4883,0.0666
1.0,0.5423,0.0333,-1,-1,0.5035,0.0684,0.5138,0.0926
2.0,0.5078,0.0292,-1,-1,0.4987,0.0764,0.4907,0.0605
3.0,0.5213,0.1121,-1,-1,0.5058,0.0621,0.5036,0.0725
4.0,0.5229,0.0751,-1,-1,0.5077,0.0634,0.5058,0.0777
5.0,0.4675,0.0434,-1,-1,0.4869,0.0673,0.5005,0.0642
6.0,0.4701,0.0193,-1,-1,0.5166,0.0801,0.5052,0.0652
7.0,0.5497,0.1173,-1,-1,0.4946,0.0679,0.4951,0.0667
8.0,0.5136,0.0865,-1,-1,0.4945,0.0663,0.4867,0.054
9.0,0.5305,0.0635,-1,-1,0.5104,0.0742,0.5051,0.0717
10.0,0.5492,0.0305,-1,-1,0.4913,0.056,0.5138,0.0826
