Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9988,0.0003,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.4977,0.0123,-1,-1,0.5,0.0,0.5,0.0
2.0,0.499,0.0094,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5064,0.0186,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5502,0.0262,-1,-1,0.5,0.0,0.5,0.0
5.0,0.6567,0.0173,-1,-1,0.5,0.0,0.5,0.0
6.0,0.7922,0.0179,-1,-1,0.5,0.0,0.5,0.0
7.0,0.912,0.0137,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9529,0.0032,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9739,0.0056,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9799,0.011,-1,-1,0.5,0.0,0.5,0.0
