Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9931,0.0014,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5,0.0036,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5039,0.0032,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5178,0.0017,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5565,0.0078,-1,-1,0.5,0.0,0.5,0.0
5.0,0.6591,0.012,-1,-1,0.5,0.0,0.5,0.0
6.0,0.8052,0.0069,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9093,0.0064,-1,-1,0.5,0.0,0.5,0.0
8.0,0.943,0.0048,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9696,0.0039,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9794,0.0037,-1,-1,0.5,0.0,0.5,0.0
