Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5003,0.0349,-1,-1,0.5,0.0,0.5,0.0
2.0,0.501,0.035,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5025,0.0353,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5244,0.0457,-1,-1,0.5,0.0,0.5,0.0
5.0,0.5375,0.0534,-1,-1,0.5,0.0,0.5,0.0
6.0,0.6255,0.0987,-1,-1,0.5,0.0,0.5,0.0
7.0,0.8024,0.0667,-1,-1,0.5,0.0,0.5,0.0
8.0,0.8722,0.0693,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9135,0.0496,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9354,0.0568,-1,-1,0.5,0.0,0.5,0.0
