Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5212,0.0182,0.4797,0.0212,0.49,0.0367,0.4909,0.0212
1.0,0.5055,0.0118,-1,-1,0.4784,0.0192,0.4776,0.0173
2.0,0.5265,0.0173,-1,-1,0.4795,0.0146,0.4779,0.0208
3.0,0.5094,0.0265,-1,-1,0.4634,0.0303,0.4706,0.0197
4.0,0.5145,0.0104,-1,-1,0.4679,0.0291,0.4885,0.0156
5.0,0.5229,0.0224,-1,-1,0.4729,0.0252,0.4923,0.0045
6.0,0.5173,0.0353,-1,-1,0.4778,0.017,0.4767,0.0241
7.0,0.5172,0.018,-1,-1,0.4717,0.034,0.4882,0.014
8.0,0.5101,0.0156,-1,-1,0.459,0.0314,0.4531,0.035
9.0,0.5206,0.0211,-1,-1,0.474,0.0065,0.4782,0.016
10.0,0.5341,0.0088,-1,-1,0.4649,0.0283,0.4762,0.0242
