Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5248,0.0091,0.4913,0.0063,0.5207,0.0308,0.5099,0.0236
1.0,0.4983,0.0082,-1,-1,0.5016,0.0093,0.4896,0.0163
2.0,0.5051,0.0104,-1,-1,0.4997,0.0066,0.4913,0.0132
3.0,0.516,0.0153,-1,-1,0.4975,0.0163,0.4879,0.0091
4.0,0.5128,0.0126,-1,-1,0.5,0.0076,0.4986,0.0169
5.0,0.5179,0.013,-1,-1,0.5005,0.0048,0.5001,0.0149
6.0,0.5166,0.0148,-1,-1,0.494,0.0155,0.4911,0.0076
7.0,0.5319,0.0169,-1,-1,0.5032,0.0051,0.4942,0.0092
8.0,0.5263,0.0104,-1,-1,0.4848,0.0179,0.4998,0.0045
9.0,0.529,0.015,-1,-1,0.4992,0.0058,0.4973,0.0115
10.0,0.5252,0.0069,-1,-1,0.4949,0.0057,0.4858,0.0225
