Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6039,0.0619,0.4459,0.0609,0.4805,0.0489,0.4603,0.0667
1.0,0.4646,0.0966,-1,-1,0.5045,0.0585,0.5161,0.0503
2.0,0.4867,0.1184,-1,-1,0.5196,0.0749,0.5065,0.038
3.0,0.4409,0.1061,-1,-1,0.5154,0.0688,0.5041,0.057
4.0,0.5226,0.0761,-1,-1,0.5047,0.0722,0.5065,0.0603
5.0,0.4668,0.0573,-1,-1,0.5092,0.0304,0.5078,0.0617
6.0,0.5213,0.0583,-1,-1,0.4967,0.048,0.4926,0.086
7.0,0.4847,0.0399,-1,-1,0.5075,0.0375,0.5036,0.081
8.0,0.5475,0.0581,-1,-1,0.5211,0.0636,0.4961,0.068
9.0,0.6468,0.0982,-1,-1,0.4944,0.0504,0.4982,0.0874
10.0,0.555,0.0853,-1,-1,0.5133,0.0406,0.5022,0.0702
