Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9927,0.0022,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5314,0.026,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5686,0.0277,-1,-1,0.5,0.0,0.5,0.0
3.0,0.6442,0.0346,-1,-1,0.5,0.0,0.5,0.0
4.0,0.7438,0.0342,-1,-1,0.5,0.0,0.5,0.0
5.0,0.8573,0.0187,-1,-1,0.5,0.0,0.5,0.0
6.0,0.9167,0.0085,-1,-1,0.5,0.0,0.5,0.0
7.0,0.959,0.0063,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9725,0.0039,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9808,0.0028,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9861,0.0012,-1,-1,0.5,0.0,0.5,0.0
