Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9918,0.002,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5442,0.011,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5813,0.0205,-1,-1,0.5,0.0,0.5,0.0
3.0,0.6507,0.0259,-1,-1,0.5,0.0,0.5,0.0
4.0,0.744,0.0294,-1,-1,0.5,0.0,0.5,0.0
5.0,0.8507,0.0184,-1,-1,0.5,0.0,0.5,0.0
6.0,0.908,0.0067,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9549,0.002,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9711,0.0024,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9785,0.0038,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9836,0.0025,-1,-1,0.5,0.0,0.5,0.0
