Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5097,0.0611,-1,-1,0.5,0.0,0.5,0.0
2.0,0.4856,0.1043,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5172,0.0876,-1,-1,0.5,0.0,0.5,0.0
4.0,0.5874,0.0908,-1,-1,0.5,0.0,0.5,0.0
5.0,0.7081,0.1022,-1,-1,0.5,0.0,0.5,0.0
6.0,0.8643,0.046,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9244,0.0699,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9523,0.0683,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9667,0.0464,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9751,0.032,-1,-1,0.5,0.0,0.5,0.0
