Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5736,0.0452,0.4539,0.012,0.4633,0.0245,0.4467,0.0279
1.0,0.5163,0.0192,-1,-1,0.4654,0.0414,0.4614,0.0195
2.0,0.5177,0.0218,-1,-1,0.4654,0.0354,0.4579,0.0307
3.0,0.5293,0.0229,-1,-1,0.459,0.0191,0.4562,0.0303
4.0,0.5355,0.0345,-1,-1,0.4629,0.0187,0.4656,0.0249
5.0,0.5523,0.0395,-1,-1,0.4691,0.0147,0.4646,0.0246
6.0,0.5391,0.0282,-1,-1,0.4655,0.0324,0.4497,0.0277
7.0,0.5532,0.0125,-1,-1,0.4783,0.0157,0.447,0.0325
8.0,0.5664,0.0173,-1,-1,0.4603,0.0321,0.4598,0.0297
9.0,0.5528,0.0278,-1,-1,0.4657,0.0351,0.4482,0.0361
10.0,0.5684,0.0299,-1,-1,0.4473,0.022,0.4661,0.0233
