Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5423,0.0131,0.4791,0.0108,0.4935,0.0093,0.4785,0.0281
1.0,0.5094,0.0114,-1,-1,0.4654,0.0143,0.4892,0.0123
2.0,0.5153,0.0104,-1,-1,0.4854,0.0089,0.4879,0.0124
3.0,0.5231,0.0182,-1,-1,0.4773,0.0138,0.4778,0.016
4.0,0.5338,0.0166,-1,-1,0.4749,0.008,0.4888,0.0106
5.0,0.5373,0.0269,-1,-1,0.4829,0.0061,0.4902,0.0099
6.0,0.5361,0.0193,-1,-1,0.479,0.0094,0.4861,0.0148
7.0,0.5484,0.0177,-1,-1,0.4832,0.0105,0.4871,0.0164
8.0,0.5513,0.0207,-1,-1,0.4755,0.0127,0.4746,0.0137
9.0,0.5459,0.0095,-1,-1,0.4788,0.0032,0.4764,0.0077
10.0,0.5528,0.0141,-1,-1,0.4813,0.0058,0.4885,0.0092
