Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6432,0.0383,0.4794,0.0149,0.4749,0.0231,0.48,0.0185
1.0,0.4809,0.0213,-1,-1,0.4552,0.0187,0.4668,0.0151
2.0,0.4774,0.0353,-1,-1,0.4488,0.0169,0.454,0.0232
3.0,0.4646,0.0205,-1,-1,0.4572,0.0148,0.4566,0.0237
4.0,0.4967,0.0372,-1,-1,0.4529,0.0237,0.4522,0.0196
5.0,0.5011,0.0524,-1,-1,0.4546,0.024,0.4571,0.023
6.0,0.5389,0.0306,-1,-1,0.4568,0.0259,0.4562,0.0236
7.0,0.5701,0.0341,-1,-1,0.4592,0.0199,0.4657,0.0233
8.0,0.6057,0.0358,-1,-1,0.4498,0.0164,0.4489,0.0251
9.0,0.5846,0.015,-1,-1,0.4538,0.0308,0.462,0.0174
10.0,0.5975,0.0288,-1,-1,0.4541,0.0141,0.4729,0.0214
