Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9887,0.0017,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5573,0.006,-1,-1,0.5,0.0,0.5,0.0
2.0,0.618,0.0037,-1,-1,0.5,0.0,0.5,0.0
3.0,0.7443,0.0168,-1,-1,0.5,0.0,0.5,0.0
4.0,0.8525,0.0114,-1,-1,0.5,0.0,0.5,0.0
5.0,0.9257,0.0052,-1,-1,0.5,0.0,0.5,0.0
6.0,0.9559,0.0052,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9522,0.0016,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9756,0.0041,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9801,0.0038,-1,-1,0.5,0.0,0.5,0.0
10.0,0.984,0.0021,-1,-1,0.5,0.0,0.5,0.0
