Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9796,0.0037,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.56,0.0063,-1,-1,0.5,0.0,0.5,0.0
2.0,0.6146,0.0074,-1,-1,0.5,0.0,0.5,0.0
3.0,0.7344,0.0033,-1,-1,0.5,0.0,0.5,0.0
4.0,0.8411,0.0041,-1,-1,0.5,0.0,0.5,0.0
5.0,0.907,0.0032,-1,-1,0.5,0.0,0.5,0.0
6.0,0.9422,0.0017,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9323,0.0089,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9641,0.0036,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9691,0.0035,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9745,0.0026,-1,-1,0.5,0.0,0.5,0.0
