Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9997,0.0002,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5255,0.0119,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5416,0.033,-1,-1,0.5,0.0,0.5,0.0
3.0,0.6258,0.0211,-1,-1,0.5,0.0,0.5,0.0
4.0,0.7999,0.0361,-1,-1,0.5,0.0,0.5,0.0
5.0,0.8922,0.0522,-1,-1,0.5,0.0,0.5,0.0
6.0,0.9444,0.028,-1,-1,0.5,0.0,0.5,0.0
7.0,0.9685,0.0094,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9802,0.0092,-1,-1,0.5,0.0,0.5,0.0
9.0,0.988,0.0105,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9905,0.0117,-1,-1,0.5,0.0,0.5,0.0
