Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5167,0.0064,0.4866,0.0259,0.4759,0.0122,0.477,0.0137
1.0,0.4885,0.0188,-1,-1,0.5081,0.0163,0.5033,0.0148
2.0,0.4867,0.0249,-1,-1,0.5079,0.0145,0.5101,0.0139
3.0,0.5001,0.0205,-1,-1,0.5121,0.0083,0.5144,0.015
4.0,0.5156,0.0235,-1,-1,0.5124,0.0132,0.508,0.0127
5.0,0.4892,0.0222,-1,-1,0.5068,0.0136,0.5084,0.0121
6.0,0.5198,0.0232,-1,-1,0.5104,0.02,0.5119,0.0137
7.0,0.53,0.02,-1,-1,0.5141,0.0141,0.5091,0.0145
8.0,0.535,0.0051,-1,-1,0.5033,0.0154,0.5139,0.0151
9.0,0.5201,0.0222,-1,-1,0.5089,0.0147,0.5114,0.0172
10.0,0.5169,0.0099,-1,-1,0.5125,0.0125,0.5088,0.0156
