Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.532,0.0106,0.5175,0.0114,0.5155,0.0178,0.5169,0.0199
1.0,0.4985,0.0103,-1,-1,0.5073,0.011,0.5049,0.0115
2.0,0.515,0.0101,-1,-1,0.51,0.0096,0.515,0.0083
3.0,0.5223,0.0104,-1,-1,0.5079,0.0091,0.504,0.0134
4.0,0.5137,0.0142,-1,-1,0.508,0.0029,0.5116,0.0084
5.0,0.5279,0.0142,-1,-1,0.5054,0.0068,0.5107,0.008
6.0,0.5414,0.007,-1,-1,0.5106,0.0039,0.5116,0.0149
7.0,0.54,0.02,-1,-1,0.5135,0.0097,0.5146,0.0095
8.0,0.5312,0.0188,-1,-1,0.5108,0.0066,0.5095,0.0114
9.0,0.5241,0.0085,-1,-1,0.5079,0.0062,0.5159,0.0135
10.0,0.5272,0.014,-1,-1,0.5094,0.0065,0.512,0.0085
