Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.6024,0.0724,0.4282,0.0617,0.468,0.0545,0.4632,0.0521
1.0,0.5324,0.1058,-1,-1,0.5017,0.0614,0.4915,0.0674
2.0,0.5199,0.072,-1,-1,0.4902,0.0707,0.5017,0.0834
3.0,0.4955,0.0662,-1,-1,0.4984,0.0806,0.4874,0.0614
4.0,0.5301,0.0283,-1,-1,0.489,0.0582,0.4886,0.0675
5.0,0.5632,0.0595,-1,-1,0.4935,0.0644,0.4947,0.0677
6.0,0.5752,0.109,-1,-1,0.495,0.0715,0.4912,0.0665
7.0,0.58,0.07,-1,-1,0.4883,0.056,0.4881,0.065
8.0,0.5986,0.0765,-1,-1,0.489,0.0641,0.4871,0.0676
9.0,0.6395,0.0416,-1,-1,0.4953,0.0707,0.4891,0.0663
10.0,0.6029,0.055,-1,-1,0.4994,0.0765,0.4949,0.0744
