Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9948,0.0012,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5056,0.0339,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5329,0.0399,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5986,0.0402,-1,-1,0.5,0.0,0.5,0.0
4.0,0.6955,0.0301,-1,-1,0.5,0.0,0.5,0.0
5.0,0.8157,0.0183,-1,-1,0.5,0.0,0.5,0.0
6.0,0.9083,0.0104,-1,-1,0.5,0.0,0.5,0.0
7.0,0.95,0.01,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9692,0.0062,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9809,0.0054,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9862,0.0028,-1,-1,0.5,0.0,0.5,0.0
