Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.987,0.0042,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5261,0.0137,-1,-1,0.5,0.0,0.5,0.0
2.0,0.551,0.0096,-1,-1,0.5,0.0,0.5,0.0
3.0,0.6108,0.0192,-1,-1,0.5,0.0,0.5,0.0
4.0,0.6943,0.0184,-1,-1,0.5,0.0,0.5,0.0
5.0,0.8098,0.014,-1,-1,0.5,0.0,0.5,0.0
6.0,0.898,0.0073,-1,-1,0.5,0.0,0.5,0.0
7.0,0.93,0.01,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9614,0.0024,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9727,0.0029,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9793,0.0012,-1,-1,0.5,0.0,0.5,0.0
