Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0
1.0,0.5298,0.0336,-1,-1,0.5,0.0,0.5,0.0
2.0,0.5448,0.0506,-1,-1,0.5,0.0,0.5,0.0
3.0,0.5798,0.0538,-1,-1,0.5,0.0,0.5,0.0
4.0,0.6244,0.0508,-1,-1,0.5,0.0,0.5,0.0
5.0,0.679,0.0942,-1,-1,0.5,0.0,0.5,0.0
6.0,0.8043,0.0372,-1,-1,0.5,0.0,0.5,0.0
7.0,0.87,0.03,-1,-1,0.5,0.0,0.5,0.0
8.0,0.9455,0.0303,-1,-1,0.5,0.0,0.5,0.0
9.0,0.9762,0.0163,-1,-1,0.5,0.0,0.5,0.0
10.0,0.9843,0.0164,-1,-1,0.5,0.0,0.5,0.0
