Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.7153,0.0053,0.5985,0.0072,0.6502,0.0067,0.6687,0.0073
1.0,0.3685,0.0205,-1,-1,0.5892,0.0192,0.4942,0.038
2.0,0.3656,0.0177,-1,-1,0.6119,0.0091,0.5511,0.0247
3.0,0.3663,0.0191,-1,-1,0.6294,0.0091,0.5896,0.0183
4.0,0.3837,0.0174,-1,-1,0.6369,0.0091,0.612,0.0146
5.0,0.4046,0.0188,-1,-1,0.641,0.0092,0.6269,0.0122
6.0,0.4644,0.0163,-1,-1,0.6425,0.009,0.6361,0.0139
7.0,0.553,0.0157,-1,-1,0.643,0.0084,0.6425,0.0128
8.0,0.6262,0.0142,-1,-1,0.644,0.0079,0.6461,0.0116
9.0,0.6681,0.0127,-1,-1,0.6447,0.0074,0.6497,0.0109
10.0,0.6888,0.0109,-1,-1,0.6452,0.007,0.6526,0.0113
