Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.8127,0.0036,0.5971,0.0046,0.6945,0.0162,0.7342,0.0063
1.0,0.3357,0.0218,-1,-1,0.5104,0.0255,0.5038,0.0239
2.0,0.3433,0.022,-1,-1,0.586,0.019,0.5583,0.0224
3.0,0.3462,0.0256,-1,-1,0.6286,0.018,0.6056,0.0154
4.0,0.3708,0.0185,-1,-1,0.6521,0.0181,0.6408,0.0125
5.0,0.422,0.014,-1,-1,0.6656,0.0183,0.6619,0.0117
6.0,0.5251,0.0179,-1,-1,0.6728,0.0181,0.6787,0.0109
7.0,0.6589,0.0137,-1,-1,0.6777,0.0179,0.6909,0.0106
8.0,0.7247,0.0132,-1,-1,0.6812,0.0174,0.699,0.0098
9.0,0.7619,0.0094,-1,-1,0.6841,0.0171,0.7048,0.0097
10.0,0.7825,0.0091,-1,-1,0.6863,0.0168,0.7096,0.0109
