Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.928,0.0046,0.7428,0.0096,0.8292,0.0086,0.8704,0.007
1.0,0.3048,0.0062,-1,-1,0.782,0.0081,0.7752,0.0077
2.0,0.3044,0.0065,-1,-1,0.802,0.0077,0.8014,0.0075
3.0,0.3048,0.0064,-1,-1,0.8113,0.0075,0.8199,0.0075
4.0,0.3047,0.0066,-1,-1,0.8164,0.0088,0.8321,0.0075
5.0,0.3544,0.0103,-1,-1,0.8201,0.0081,0.8392,0.0075
6.0,0.4659,0.0254,-1,-1,0.8225,0.0091,0.8445,0.0066
7.0,0.6324,0.0073,-1,-1,0.8245,0.0091,0.8494,0.0071
8.0,0.7414,0.0078,-1,-1,0.8251,0.0088,0.8524,0.0074
9.0,0.8078,0.0064,-1,-1,0.8251,0.009,0.8554,0.0066
10.0,0.8486,0.005,-1,-1,0.8265,0.0091,0.8568,0.0072
