Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5105,0.0009,0.4682,0.0011,0.473,0.0012,0.4954,0.0035
1.0,0.4369,0.0011,-1,-1,0.4673,0.0012,0.4625,0.0012
2.0,0.437,0.001,-1,-1,0.4692,0.0008,0.4677,0.0025
3.0,0.4372,0.0012,-1,-1,0.4699,0.0004,0.4707,0.0012
4.0,0.4368,0.0013,-1,-1,0.471,0.0003,0.4737,0.0013
5.0,0.4374,0.0009,-1,-1,0.4712,0.0006,0.4758,0.0015
6.0,0.438,0.0016,-1,-1,0.4712,0.0011,0.4774,0.0024
7.0,0.441,0.0009,-1,-1,0.4713,0.0006,0.4817,0.002
8.0,0.4493,0.0017,-1,-1,0.4716,0.0014,0.4838,0.0019
9.0,0.4694,0.0022,-1,-1,0.4718,0.0011,0.4847,0.0024
10.0,0.4885,0.0021,-1,-1,0.4722,0.0014,0.4864,0.003
