Epsilon,gcn_mean,gcn_std,mlp_mean,mlp_std,mmlp_nl1_mean,mmlp_nl1_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.7915,0.0041,0.7292,0.0093,0.7474,0.0043,0.7545,0.0051
1.0,0.5478,0.0204,-1,-1,0.7165,0.0137,0.6935,0.0196
2.0,0.5474,0.0184,-1,-1,0.73,0.0074,0.7111,0.0191
3.0,0.5479,0.0193,-1,-1,0.7342,0.0069,0.7241,0.012
4.0,0.5526,0.0199,-1,-1,0.7386,0.0059,0.7319,0.0103
5.0,0.5542,0.0186,-1,-1,0.741,0.0044,0.7362,0.0074
6.0,0.5646,0.0185,-1,-1,0.7399,0.005,0.7384,0.0082
7.0,0.5894,0.0142,-1,-1,0.7412,0.0046,0.7394,0.007
8.0,0.6336,0.0167,-1,-1,0.7434,0.004,0.7436,0.0075
9.0,0.6931,0.0159,-1,-1,0.7447,0.0034,0.7443,0.0078
10.0,0.7286,0.017,-1,-1,0.7445,0.0033,0.7459,0.0059
